taskid,amount_backs,amount_backsequs,avg_len_backsequs
120,29,8,3.625
121,17,5,3.4
122,12,7,1.7142857142857142
123,34,2,17.0
124,0,0,0.0
125,1,1,1.0
140,678,27,25.11111111111111
141,91,28,3.25
142,72,25,2.88
143,507,25,20.28
144,35,22,1.5909090909090908
145,56,15,3.7333333333333334
150,9,6,1.5
151,80,5,16.0
152,5,3,1.6666666666666667
153,91,22,4.136363636363637
154,1,1,1.0
155,47,2,23.5
160,11,7,1.5714285714285714
161,42,16,2.625
162,40,2,20.0
163,12,4,3.0
164,22,13,1.6923076923076923
165,50,4,12.5
170,111,21,5.285714285714286
171,19,8,2.375
172,81,26,3.1153846153846154
173,64,9,7.111111111111111
174,27,8,3.375
175,60,23,2.608695652173913
180,30,22,1.3636363636363635
181,114,24,4.75
182,67,31,2.161290322580645
183,54,32,1.6875
184,146,35,4.171428571428572
185,140,47,2.978723404255319
190,46,24,1.9166666666666667
191,12,9,1.3333333333333333
192,40,13,3.076923076923077
193,14,11,1.2727272727272727
194,9,7,1.2857142857142858
195,16,8,2.0
200,80,10,8.0
201,8,6,1.3333333333333333
202,3,3,1.0
203,68,5,13.6
204,20,4,5.0
205,7,3,2.3333333333333335
210,125,34,3.676470588235294
211,211,16,13.1875
212,40,19,2.1052631578947367
213,98,25,3.92
214,492,33,14.909090909090908
215,126,20,6.3
220,17,9,1.8888888888888888
221,7,6,1.1666666666666667
222,421,8,52.625
223,7,1,7.0
224,10,9,1.1111111111111112
225,164,7,23.428571428571427
230,78,14,5.571428571428571
231,11,8,1.375
232,66,25,2.64
233,125,8,15.625
234,16,5,3.2
235,60,19,3.1578947368421053
240,31,7,4.428571428571429
241,272,8,34.0
242,54,9,6.0
243,1,1,1.0
244,272,11,24.727272727272727
245,67,13,5.153846153846154
250,32,16,2.0
251,81,29,2.793103448275862
252,59,9,6.555555555555555
253,33,16,2.0625
254,20,15,1.3333333333333333
255,48,10,4.8
260,375,32,11.71875
261,35,10,3.5
262,14,7,2.0
263,407,18,22.61111111111111
264,1,1,1.0
265,32,7,4.571428571428571
270,46,15,3.066666666666667
271,90,9,10.0
272,48,11,4.363636363636363
273,56,14,4.0
274,130,8,16.25
275,15,6,2.5
280,11,6,1.8333333333333333
281,31,14,2.2142857142857144
282,189,22,8.590909090909092
283,93,15,6.2
284,100,33,3.0303030303030303
285,215,23,9.347826086956522
310,5,1,5.0
311,91,31,2.935483870967742
312,38,5,7.6
313,31,16,1.9375
314,28,16,1.75
315,9,3,3.0
320,793,42,18.88095238095238
321,58,22,2.6363636363636362
322,102,17,6.0
323,362,18,20.11111111111111
324,173,29,5.9655172413793105
325,42,15,2.8
