subject,method,task,amount_actions,amount_backs,amount_backsequs,amount_generations,amount_new_opts,avg_len_backsequs
12,0,0,73.0,29.0,8.0,0.0,0.0,3.625
12,0,1,76.0,34.0,2.0,0.0,0.0,17.0
12,1,0,131.0,17.0,5.0,2.0,0.0,3.4
12,1,1,1.0,0.0,0.0,2.0,0.0,0.0
12,2,0,81.0,12.0,7.0,11.0,0.0,1.7142857142857142
12,2,1,10.0,1.0,1.0,11.0,2.0,1.0
14,0,0,444.0,72.0,25.0,0.0,0.0,2.88
14,0,1,413.0,56.0,15.0,0.0,0.0,3.7333333333333334
14,1,0,980.0,678.0,27.0,10.0,0.0,25.11111111111111
14,1,1,730.0,507.0,25.0,11.0,0.0,20.28
14,2,0,359.0,91.0,28.0,35.0,16.0,3.25
14,2,1,166.0,35.0,22.0,24.0,0.0,1.5909090909090908
15,0,0,329.0,91.0,22.0,0.0,0.0,4.136363636363637
15,0,1,154.0,9.0,6.0,0.0,0.0,1.5
15,1,0,15.0,1.0,1.0,1.0,0.0,1.0
15,1,1,146.0,80.0,5.0,3.0,0.0,16.0
15,2,0,85.0,47.0,2.0,22.0,6.0,23.5
15,2,1,57.0,5.0,3.0,27.0,4.0,1.6666666666666667
16,0,0,392.0,42.0,16.0,0.0,0.0,2.625
16,0,1,366.0,22.0,13.0,0.0,0.0,1.6923076923076923
16,1,0,76.0,40.0,2.0,3.0,0.0,20.0
16,1,1,120.0,50.0,4.0,2.0,0.0,12.5
16,2,0,103.0,11.0,7.0,18.0,9.0,1.5714285714285714
16,2,1,61.0,12.0,4.0,7.0,1.0,3.0
17,0,0,255.0,60.0,23.0,0.0,0.0,2.608695652173913
17,0,1,394.0,81.0,26.0,0.0,0.0,3.1153846153846154
17,1,0,151.0,64.0,9.0,2.0,0.0,7.111111111111111
17,1,1,318.0,111.0,21.0,3.0,0.0,5.285714285714286
17,2,0,104.0,27.0,8.0,17.0,5.0,3.375
17,2,1,109.0,19.0,8.0,24.0,7.0,2.375
18,0,0,313.0,30.0,22.0,0.0,0.0,1.3636363636363635
18,0,1,420.0,54.0,32.0,0.0,0.0,1.6875
18,1,0,359.0,114.0,24.0,3.0,0.0,4.75
18,1,1,541.0,146.0,35.0,5.0,0.0,4.171428571428572
18,2,0,279.0,67.0,31.0,40.0,7.0,2.161290322580645
18,2,1,448.0,140.0,47.0,48.0,7.0,2.978723404255319
19,0,0,140.0,9.0,7.0,0.0,0.0,1.2857142857142858
19,0,1,302.0,12.0,9.0,0.0,0.0,1.3333333333333333
19,1,0,117.0,16.0,8.0,4.0,0.0,2.0
19,1,1,291.0,40.0,13.0,9.0,0.0,3.076923076923077
19,2,0,113.0,14.0,11.0,11.0,0.0,1.2727272727272727
19,2,1,440.0,46.0,24.0,44.0,7.0,1.9166666666666667
20,0,0,122.0,3.0,3.0,0.0,0.0,1.0
20,0,1,93.0,7.0,3.0,0.0,0.0,2.3333333333333335
20,1,0,222.0,80.0,10.0,3.0,0.0,8.0
20,1,1,173.0,68.0,5.0,3.0,0.0,13.6
20,2,0,78.0,8.0,6.0,8.0,2.0,1.3333333333333333
20,2,1,101.0,20.0,4.0,9.0,3.0,5.0
21,0,0,557.0,98.0,25.0,0.0,0.0,3.92
21,0,1,644.0,125.0,34.0,0.0,0.0,3.676470588235294
21,1,0,714.0,492.0,33.0,17.0,0.0,14.909090909090908
21,1,1,273.0,211.0,16.0,8.0,0.0,13.1875
21,2,0,273.0,126.0,20.0,26.0,1.0,6.3
21,2,1,255.0,40.0,19.0,38.0,13.0,2.1052631578947367
22,0,0,110.0,7.0,6.0,0.0,0.0,1.1666666666666667
22,0,1,144.0,10.0,9.0,0.0,0.0,1.1111111111111112
22,1,0,521.0,421.0,8.0,5.0,0.0,52.625
22,1,1,183.0,164.0,7.0,5.0,0.0,23.428571428571427
22,2,0,101.0,17.0,9.0,25.0,2.0,1.8888888888888888
22,2,1,22.0,7.0,1.0,10.0,0.0,7.0
23,0,0,285.0,60.0,19.0,0.0,0.0,3.1578947368421053
23,0,1,425.0,66.0,25.0,0.0,0.0,2.64
23,1,0,223.0,125.0,8.0,4.0,0.0,15.625
23,1,1,196.0,78.0,14.0,4.0,0.0,5.571428571428571
23,2,0,60.0,16.0,5.0,12.0,1.0,3.2
23,2,1,101.0,11.0,8.0,12.0,1.0,1.375
24,0,0,337.0,31.0,7.0,0.0,0.0,4.428571428571429
24,0,1,269.0,1.0,1.0,0.0,0.0,1.0
24,1,0,522.0,272.0,8.0,8.0,0.0,34.0
24,1,1,543.0,272.0,11.0,5.0,0.0,24.727272727272727
24,2,0,175.0,54.0,9.0,24.0,12.0,6.0
24,2,1,230.0,67.0,13.0,28.0,7.0,5.153846153846154
25,0,0,220.0,20.0,15.0,0.0,0.0,1.3333333333333333
25,0,1,532.0,81.0,29.0,0.0,0.0,2.793103448275862
25,1,0,149.0,48.0,10.0,4.0,0.0,4.8
25,1,1,153.0,59.0,9.0,2.0,0.0,6.555555555555555
25,2,0,191.0,33.0,16.0,12.0,0.0,2.0625
25,2,1,185.0,32.0,16.0,11.0,0.0,2.0
26,0,0,209.0,14.0,7.0,0.0,0.0,2.0
26,0,1,185.0,32.0,7.0,0.0,0.0,4.571428571428571
26,1,0,682.0,375.0,32.0,5.0,0.0,11.71875
26,1,1,634.0,407.0,18.0,5.0,0.0,22.61111111111111
26,2,0,210.0,35.0,10.0,27.0,12.0,3.5
26,2,1,57.0,1.0,1.0,22.0,8.0,1.0
27,0,0,399.0,56.0,14.0,0.0,0.0,4.0
27,0,1,480.0,46.0,15.0,0.0,0.0,3.066666666666667
27,1,0,243.0,130.0,8.0,6.0,0.0,16.25
27,1,1,290.0,90.0,9.0,5.0,0.0,10.0
27,2,0,93.0,15.0,6.0,18.0,2.0,2.5
27,2,1,220.0,48.0,11.0,23.0,4.0,4.363636363636363
28,0,0,302.0,31.0,14.0,0.0,0.0,2.2142857142857144
28,0,1,612.0,100.0,33.0,0.0,0.0,3.0303030303030303
28,1,0,363.0,189.0,22.0,4.0,0.0,8.590909090909092
28,1,1,455.0,215.0,23.0,6.0,0.0,9.347826086956522
28,2,0,121.0,11.0,6.0,35.0,28.0,1.8333333333333333
28,2,1,290.0,93.0,15.0,34.0,13.0,6.2
31,0,0,364.0,28.0,16.0,0.0,0.0,1.75
31,0,1,596.0,91.0,31.0,0.0,0.0,2.935483870967742
31,1,0,133.0,9.0,3.0,6.0,0.0,3.0
31,1,1,137.0,38.0,5.0,6.0,0.0,7.6
31,2,0,291.0,31.0,16.0,10.0,0.0,1.9375
31,2,1,45.0,5.0,1.0,15.0,1.0,5.0
32,0,0,452.0,102.0,17.0,0.0,0.0,6.0
32,0,1,295.0,42.0,15.0,0.0,0.0,2.8
32,1,0,1022.0,793.0,42.0,6.0,0.0,18.88095238095238
32,1,1,478.0,362.0,18.0,6.0,0.0,20.11111111111111
32,2,0,260.0,58.0,22.0,33.0,4.0,2.6363636363636362
32,2,1,379.0,173.0,29.0,33.0,0.0,5.9655172413793105
