Time;Perf_Time;Action
11:09:35;3102461.322784125;D
11:09:35;3102461.550118975;e
11:09:35;3102461.948477955;a
11:09:36;3102462.15378959;r
11:09:36;3102462.88346057;m
11:09:37;3102463.473439131;y
11:09:37;3102463.590393482;l
11:09:37;3102463.594637163;SPACE
11:09:38;3102464.013290909;b
11:09:38;3102464.133887935;e
11:09:38;3102464.36576195;s
11:09:38;3102464.508605456;t
11:09:38;3102464.564409825; m
11:09:38;3102464.576581218;SPACE
11:09:40;3102466.733459983;friend
11:09:40;3102466.737687524;SPACE
11:09:54;3102480.453724038;"I am so sorry. We are so sorry,"" said al"
11:09:54;3102480.770476871;BACK
11:09:55;3102481.292932429;BACK
11:09:55;3102481.373384362;BACK
11:09:55;3102481.474530726;BACK
11:09:55;3102481.573197149;BACK
11:09:55;3102481.672841776;BACK
11:09:55;3102481.773860271;BACK
11:09:55;3102481.872995833;BACK
11:09:56;3102482.033916046;BACK
11:09:56;3102482.073464265;BACK
11:09:56;3102482.173570158;BACK
11:09:56;3102482.272898531;BACK
11:09:56;3102482.373932433;BACK
11:09:56;3102482.473352819;BACK
11:09:56;3102482.572476379;BACK
11:09:56;3102482.674292438;BACK
11:09:56;3102482.772346559;BACK
11:09:56;3102482.872749317;BACK
11:09:56;3102482.973707609;BACK
11:09:57;3102483.073733849;BACK
11:09:57;3102483.172669273;BACK
11:09:57;3102483.285610541;BACK
11:09:57;3102483.294286117;BACK
11:09:58;3102484.321450787;BACK
11:09:58;3102484.662156949;BACK
11:09:58;3102484.766236874;BACK
11:09:58;3102484.866598864;BACK
11:09:58;3102484.965715018;BACK
11:09:59;3102485.065422393;BACK
11:09:59;3102485.164254184;BACK
11:09:59;3102485.264257353;BACK
11:09:59;3102485.364498128;BACK
11:09:59;3102485.464468255;BACK
11:09:59;3102485.565301561;BACK
11:09:59;3102485.664587034;BACK
11:09:59;3102485.76438074;BACK
11:10:00;3102486.170310074;BACK
11:10:00;3102486.378304964;BACK
11:10:00;3102486.98435277;BACK
11:10:01;3102487.647578948;.
11:10:01;3102487.723939795;SPACE
11:10:02;3102488.463412972;H
11:10:02;3102488.795049631;a
11:10:02;3102488.928368458;p
11:10:03;3102489.107154169;p
11:10:03;3102489.899107213;y
11:10:03;3102489.903597296;SPACE
11:10:04;3102490.40953328;Birthday 
11:10:04;3102490.413894462;BACK
11:10:54;3102540.381437453;
11:10:55;3102541.109103324;SPACE
11:10:55;3102541.453634509;m
11:10:56;3102542.037496443;u
11:10:56;3102542.221408786;y
11:10:56;3102542.254005893;SPACE
11:10:57;3102543.297562655;b
11:10:57;3102543.614436323;u
11:10:57;3102544.003758166;d
11:10:58;3102544.159718022;d
11:10:58;3102544.602674392;y
